"White population","Black population","Grey population","Global temperature"
152,180,0,29.746352119525
"194","181","13","46.262895675004415"
"232","180","21","53.17648381398064"
"255","176","25","55.278486830892"
"279","172","25","55.46536092124205"
"294","167","27","54.62940604867207"
"317","154","29","53.567582494741266"
"338","144","31","52.002368291941664"
"358","135","33","50.275280578894154"
"373","131","38","48.51243090417171"
"388","128","40","46.95783660874877"
"397","124","42","45.52087638211719"
"408","121","42","44.36049649246819"
"410","118","45","43.29143135570785"
"422","109","47","42.59567305320839"
"428","104","47","41.66145341986528"
"432","98","49","40.88583483516124"
"433","92","52","40.229828377393595"
"440","83","54","39.75570891715652"
"447","74","56","39.14617053182284"
"452","70","58","38.45447255154917"
"463","57","59","37.84533482384255"
"468","50","60","36.96572318776599"
"476","43","62","36.25244542560578"
"490","33","63","35.479760487769894"
"506","23","63","34.40974054495772"
"493","15","59","33.117573395302145"
"499","8","54","32.900952700195546"
"506","7","52","32.49325107513465"
"522","8","55","32.00712317073515"
"531","8","59","31.112309606190717"
"527","9","62","30.27257593000577"
"535","9","66","29.972372732445496"
"535","11","68","29.45403445749817"
"551","11","66","29.198914234264677"
"561","9","72","28.42531822231434"
"567","7","73","27.575696091457157"
"587","6","76","26.87490585549048"
"610","6","76","25.677443994289636"
"614","6","79","24.14265742209579"
"632","6","80","23.130749985718854"
"640","6","79","21.873427904562472"
"645","6","81","20.904335857489354"
"655","6","85","20.17074698304795"
"660","6","86","19.331719406089178"
"668","5","87","18.681940098731644"
"670","5","91","18.0000664383331"
"673","5","92","17.526843437722043"
"667","5","97","17.140885988311428"
"668","5","98","17.15191971338806"
"667","5","101","17.106704257681795"
"669","5","95","17.10422368381991"
"653","5","106","17.06203243845016"
"651","4","112","17.54870580634347"
"638","3","121","17.81181009104997"
"644","3","121","18.341052799834806"
"658","2","122","18.39586425049418"
"648","3","120","17.85595596589559"
"656","2","120","18.000220363020212"
"650","3","127","17.728446094494437"
"649","3","132","17.786393544488718"
"651","3","134","17.789840603020068"
"645","3","138","17.729550418105777"
"647","3","139","17.90899120667436"
"656","4","136","17.91856934389634"
"647","4","139","17.624220418191033"
"650","4","142","17.80894690091239"
"655","4","138","17.759640288626375"
"658","4","137","17.579208296011597"
"663","4","137","17.389238390709497"
"663","4","137","17.090529701836445"
"663","4","135","16.920539325675676"
"672","4","134","16.834621852377012"
"680","4","130","16.454096727867636"
"675","4","130","15.973696915594253"
"677","4","131","15.936041749289927"
"672","4","135","15.819427106698528"
"679","4","129","15.936556991804277"
"674","4","131","15.79248547022781"
"674","4","130","15.863195872439467"
"664","4","133","15.9199630200444"
"667","4","142","16.283182415327765"
"672","3","144","16.306355639250217"
"664","3","151","16.108063956487353"
"670","2","146","16.26249648180722"
"673","2","141","16.13601903166075"
"684","2","143","16.025702173166497"
"680","2","140","15.507538081897648"
"681","2","145","15.439956201474695"
"675","1","147","15.352913737276879"
"683","1","147","15.518945459965687"
"685","1","145","15.302919373543935"
"681","1","150","15.13157575099122"
"672","1","150","15.156856375800574"
"674","2","153","15.522416846691607"
"674","2","154","15.619994502527595"
"669","2","159","15.663299045668726"
"660","3","166","15.844771856013455"
"665","3","165","16.22715521049595"
"665","3","167","16.221438225333767"
"655","3","171","16.211284429717626"
"650","3","175","16.581101549786624"
"647","3","178","16.923843783602916"
"650","5","177","17.20701875562623"
"649","5","177","17.26500950669708"
"640","5","182","17.30318082875622"
"638","5","182","17.648633968787276"
"636","6","183","17.864809519083238"
"642","5","183","18.06374410655546"
"635","5","188","17.9427870091463"
"634","5","188","18.109053222569155"
"627","5","190","18.219934669993574"
"643","5","191","18.546694423878346"
