"White population","Black population","Grey population","Global temperature"
165,156,0,-1.4727981997382271
"160","190","0","-2.2836665596723242"
"155","232","0","-2.169435583984105"
"153","290","1","-1.494576732710474"
"144","348","1","-0.4878483283461872"
"136","406","1","0.9713525603372115"
"129","458","2","2.634593219283276"
"124","502","2","4.273077825371771"
"118","544","2","5.748125999048523"
"113","581","2","7.17430801791167"
"107","631","2","8.486937009905969"
"99","666","3","9.90128407031351"
"93","689","3","11.287358134203176"
"82","710","3","12.467380211014216"
"74","732","3","13.715146141104173"
"67","745","3","14.893321303843937"
"62","753","3","15.894960564895756"
"55","759","3","16.676610088552692"
"51","768","4","17.40792606254494"
"46","776","5","18.016927607421454"
"43","779","6","18.596103707825936"
"35","785","6","19.037723622973804"
"30","795","6","19.63224660535304"
"21","803","7","20.230199795035816"
"13","812","8","20.962377396796395"
"0","818","8","21.736046226259578"
"0","833","8","22.710344142592973"
"0","833","8","23.36990701652037"
"1","833","7","23.715855793762227"
"1","832","7","23.87482440996654"
"1","832","7","23.953791027093928"
"2","832","6","23.994087145754786"
"2","832","6","23.983392327394604"
"2","831","6","23.978972774029955"
"2","831","6","23.968579106546002"
"2","830","7","23.963745616645713"
"2","833","6","23.944169637389507"
"2","832","6","23.964901201259455"
"2","833","6","23.964998038830043"
"2","833","6","23.97309914504472"
"2","833","6","23.97666040603396"
"2","833","6","23.978271389617127"
"2","833","6","23.979015038222464"
"2","832","5","23.979363377452184"
"2","835","4","23.981253647783774"
"2","836","3","24.01873061413458"
"2","836","3","24.0562372973598"
"2","836","3","24.075824641968225"
"2","837","2","24.086087552636457"
"2","838","1","24.109918069086884"
"2","838","1","24.140990721190185"
"2","838","1","24.15717974478977"
"2","837","1","24.165564159097627"
"1","838","1","24.1615439329861"
"2","838","1","24.201114416965368"
"2","837","1","24.17769540300452"
"1","838","1","24.15523628666158"
"1","839","1","24.191460535093707"
"1","839","1","24.22020917710873"
"1","839","1","24.235236123586034"
"1","836","0","24.243120279533873"
"1","838","0","24.22690372825098"
"1","840","0","24.24216914630088"
"1","840","0","24.266987331511093"
"1","840","0","24.279013999673335"
"1","840","0","24.28499976657396"
"1","840","0","24.288028963616277"
"1","840","0","24.28957836415126"
"1","840","0","24.29037647936455"
"1","839","0","24.29078959852622"
"1","840","0","24.282646244963054"
"1","840","0","24.28738469882484"
"1","840","0","24.289477681416166"
"1","840","0","24.290420710979205"
"1","840","0","24.290853228889947"
"1","840","0","24.29105471003911"
"1","840","0","24.291149834378082"
"1","840","0","24.291195264521967"
"1","840","0","24.291217175953435"
"0","840","0","24.291227833569867"
"0","841","0","24.331050747400923"
"0","841","0","24.36235538969896"
"0","841","0","24.37898588944171"
"0","841","0","24.387820800109143"
"0","841","0","24.392514326654744"
"0","841","0","24.395007753348022"
"0","841","0","24.396332381883784"
"0","839","0","24.397036088699956"
"0","839","0","24.381888055900674"
"0","841","0","24.37421378501343"
"0","841","0","24.38715935453904"
"0","841","0","24.392879937097877"
"0","841","0","24.39548786341507"
"0","841","0","24.39670532574947"
"0","841","0","24.39728419332692"
"0","841","0","24.39756341993955"
"0","841","0","24.397699666254628"
"0","841","0","24.39776676832071"
"0","841","0","24.397800070255816"
"0","841","0","24.397816703189008"
"0","841","0","24.39782505532781"
"0","841","0","24.39782926850022"
"0","841","0","24.39783140215444"
"0","841","0","24.39783248636679"
"0","841","0","24.397833038943094"
"0","841","0","24.397833321301945"
"0","840","0","24.397833465915937"
"0","841","0","24.389475606879945"
"0","841","0","24.394009077585228"
"0","841","0","24.396029203174812"
"0","841","0","24.396964004215434"
"0","841","0","24.39740808022152"
"0","841","0","24.397623017179587"
"0","840","0","24.397728485074637"
"0","840","0","24.39061683416126"
"0","841","0","24.38659459700054"
"0","841","0","24.39289426808943"
"0","841","0","24.395610551589808"
"0","841","0","24.39681321599782"
"0","841","0","24.39735757556913"
"0","841","0","24.397608518688585"
"0","841","0","24.397725974357485"
"0","841","0","24.39778165320463"
"0","841","0","24.397808330350333"
"0","841","0","24.397821227862124"
"0","841","0","24.397827511492892"
"0","841","0","24.397830593138213"
"0","841","0","24.39783211311526"
"0","841","0","24.397832866569576"
"0","841","0","24.397833241697764"
"0","841","0","24.397833429191103"
"0","841","0","24.397833523226282"
"0","841","0","24.397833570534516"
"0","841","0","24.397833594401128"
"0","841","0","24.397833606471963"
"0","841","0","24.397833612590873"
"0","841","0","24.397833615699188"
"0","841","0","24.397833617281144"
"0","840","0","24.3978336180877"
"0","840","0","24.387684699548554"
"0","841","0","24.385445967637704"
"0","841","0","24.392319574962503"
"0","841","0","24.395288573249594"
"0","841","0","24.396627899483835"
"0","841","0","24.39725150686426"
"0","840","0","24.3975486284095"
"0","841","0","24.38933467853553"
"0","841","0","24.394032057470866"
"0","841","0","24.396101760888527"
"0","841","0","24.397031815798716"
"0","841","0","24.39745718378089"
"0","841","0","24.397654756422043"
"0","841","0","24.39774775681546"
"0","841","0","24.397792037959942"
"0","840","0","24.397813329985343"
"0","841","0","24.387674735665808"
"0","841","0","24.39243708437159"
"0","841","0","24.39496688175435"
"0","841","0","24.39631074481667"
"0","841","0","24.3970246296118"
"0","841","0","24.397403861105836"
"0","841","0","24.397605319745757"
