"White population","Black population","Grey population","Global temperature"
164,181,0,17.193197823884603
"177","218","13","26.65143471600857"
"218","222","38","31.35542578031515"
"291","227","79","32.04608366804585"
"360","229","112","29.25857150467124"
"400","229","130","24.846770667071368"
"419","232","141","20.837665838211723"
"427","226","154","17.951583512250238"
"429","233","159","15.969376820767762"
"429","233","163","14.89006886568348"
"431","229","170","14.293532943967149"
"425","227","175","13.81431786898108"
"424","226","178","13.733831932405172"
"420","220","183","13.706033378932462"
"415","215","191","13.751381226726293"
"414","213","199","13.859401586610444"
"413","211","205","13.865191545530402"
"406","206","210","13.841292909115163"
"408","203","215","14.018250839134845"
"400","200","220","13.944076297244713"
"400","195","229","14.154605387462523"
"398","187","235","14.151197294205252"
"391","187","246","14.101901609507998"
"384","185","254","14.270320625519272"
"379","187","258","14.52813628808835"
"375","182","267","14.847594037269163"
"372","152","278","15.050151740118649"
"345","150","294","14.903561910656913"
"288","158","296","15.740310974875614"
"239","175","321","18.462522745697353"
"221","201","354","21.776337773350008"
"214","207","379","24.17962895020261"
"222","215","385","25.550252460013176"
"222","209","395","26.011143313324506"
"221","213","402","26.14084678045515"
"220","210","405","26.233882911108726"
"224","207","406","26.262452740219587"
"220","204","409","26.074285124757008"
"217","207","410","26.072717031569812"
"222","206","411","26.204161601102967"
"219","204","413","26.05558301797514"
"220","202","415","26.059841766044716"
"221","200","418","25.987318489491603"
"220","197","418","25.866119656877103"
"217","192","423","25.826733923132927"
"211","192","429","25.826185520255592"
"209","192","433","26.01182015751233"
"212","188","434","26.158203310747272"
"215","188","435","26.066715735779372"
"216","183","437","25.902343940519017"
"215","183","437","25.708839273270264"
"208","177","437","25.64387467508662"
"205","177","439","25.807977099901873"
"203","168","445","25.998570868984416"
"201","155","449","26.055000909362082"
"201","132","472","25.99671186691187"
"195","128","483","25.55240465465662"
"188","125","496","25.44157177175633"
"185","128","513","25.4866573535074"
"188","123","524","25.493803948252726"
"185","123","529","25.2448872798277"
"180","122","537","25.201594397718182"
"180","120","538","25.309539042433173"
"179","115","542","25.341360161591425"
"177","111","547","25.318634063035724"
"179","109","548","25.30597804559126"
"175","109","554","25.195239269602784"
"175","109","556","25.242006900887166"
"169","112","557","25.24922361414727"
"169","114","557","25.50042732694258"
"167","111","558","25.650301227007336"
"167","110","559","25.762663088442984"
"167","107","563","25.801461497152328"
"163","105","568","25.7595321149749"
"161","105","572","25.82450491245952"
"160","103","575","25.904420952420416"
"159","100","574","25.946841284450173"
"148","89","584","25.993805924038398"
"139","82","605","26.258271411164788"
"127","73","618","26.516054461249865"
"111","70","628","26.939599438345223"
"104","66","645","27.68628100408561"
"97","62","656","28.16752359563343"
"97","55","666","28.572807970782712"
"93","56","677","28.642116892004566"
"91","57","684","28.763812082625137"
"94","57","684","28.854712635512232"
"93","59","685","28.78835730418764"
"93","61","681","28.808830966877004"
"91","63","680","28.873073027365752"
"87","65","684","29.01681910245001"
"88","64","684","29.236737550344625"
"89","65","684","29.301594984449466"
"91","61","685","29.311354333459942"
"92","59","684","29.194050107144037"
"93","57","685","29.08145673993187"
"93","58","685","28.953595974994194"
"92","59","685","28.89262838874699"
"94","59","685","28.914606552298057"
"96","57","684","28.845363724278062"
"97","56","686","28.724095248279095"
"96","55","687","28.60218108903007"
"93","50","689","28.561838233921918"
"93","49","687","28.588626969064855"
"90","50","685","28.60807494331906"
"100","49","683","28.75359949253339"
"97","44","683","28.444189997600535"
"100","42","692","28.347490214210847"
"103","41","692","28.08008618561239"
"104","38","691","27.81345973984968"
"103","36","697","27.60969504609545"
"100","35","703","27.482930454629216"
"103","33","703","27.472980991078376"
"105","32","703","27.335916384980326"
"104","32","702","27.1774750221338"
"104","29","707","27.142915515866168"
"103","30","708","27.0565160372262"
"100","29","708","27.054031991014295"
"98","30","712","27.15559491071921"
"96","30","714","27.265135392113002"
"97","31","712","27.386407979647906"
"98","29","713","27.443460691691964"
"97","30","711","27.410632762655865"
"93","29","717","27.453623283088305"
"92","29","720","27.580084166754474"
"91","29","719","27.65802352574255"
"88","29","723","27.739049454962757"
"85","30","724","27.867893472527673"
"85","28","718","28.057024897527874"
"88","24","718","28.176370899263585"
"75","22","726","28.074561668920758"
"75","21","734","28.43994137131956"
"72","21","741","28.557058934437713"
"66","21","750","28.684326967177874"
"66","22","749","28.906699843577744"
"66","21","749","29.04163063661915"
"67","22","750","29.099869885197986"
"63","22","754","29.101271916540863"
"60","21","759","29.217324177515724"
"59","19","760","29.346212677469364"
"60","21","759","29.42566426723972"
"60","20","758","29.457386632569836"
"61","21","758","29.474015417834806"
"60","20","758","29.453333388905467"
"59","20","761","29.472955719536372"
"57","20","763","29.498583606590433"
"54","20","766","29.566524066215003"
"53","18","768","29.694203800406694"
"53","19","768","29.763192344895867"
"54","20","767","29.805457659210923"
"54","20","765","29.801482712440656"
"55","21","762","29.814105463361216"
"60","20","756","29.814007451001267"
"60","20","760","29.65672436753831"
"59","19","759","29.548745227095726"
"61","17","754","29.531785621199777"
"61","15","759","29.47334032408906"
"61","14","762","29.381549283118854"
"61","15","760","29.297821418885682"
"61","13","764","29.286554366117823"
"64","14","763","29.23333301876141"
"62","13","763","29.107819634078542"
"62","13","766","29.103215240809543"
"63","13","765","29.07724132940169"
"63","14","763","29.03236813016368"
"63","12","764","29.03543377709021"
"64","12","765","29.004772672319124"
"64","10","764","28.94057404181396"
"65","10","765","28.894473848980432"
"67","10","764","28.819741163438778"
"68","9","763","28.709337419614474"
"69","9","763","28.617996597620884"
"69","9","762","28.532729301714223"
"70","9","761","28.49685429078718"
"67","8","765","28.449959935026083"
"66","8","767","28.506250122635766"
"68","9","764","28.561352879129686"
"68","10","761","28.546820866388376"
"65","8","762","28.572700106662662"
"63","9","762","28.680525498820096"
"57","10","771","28.84053881125075"
"58","10","770","29.10514015970815"
"57","11","770","29.22131412831249"
"54","11","773","29.336596974312553"
"50","12","777","29.48270536019441"
"49","11","780","29.68250373399631"
"49","11","781","29.797220808423912"
"49","11","780","29.85043412128659"
"48","11","781","29.88466771248638"
"47","10","783","29.934586039306073"
"46","10","785","29.975655283748832"
"45","10","786","30.021184649276147"
"44","10","787","30.07706423129561"
"45","10","786","30.138336747467196"
"43","10","788","30.139380900842667"
"42","10","786","30.202985366021593"
"41","10","789","30.2861438935263"
"40","10","791","30.342840605887485"
"40","9","792","30.396747441357043"
"40","9","792","30.407093518601663"
"40","9","792","30.412112153705515"
"40","7","792","30.414429834057245"
"36","6","796","30.39517322468464"
"35","6","796","30.493893903961382"
"29","10","793","30.577676509002124"
"33","10","789","30.910250617406913"
"32","11","790","30.95597255713322"
"30","11","798","31.020430058491606"
"34","11","794","31.068660104211315"
"35","10","793","30.976750606916212"
"35","11","792","30.888950236633352"
"35","11","795","30.85320583290774"
"37","12","791","30.810232033781862"
"37","12","791","30.75151858773611"
"37","12","792","30.71861424942318"
"36","12","793","30.69500625167399"
"36","12","793","30.71479372561054"
"36","12","793","30.725629119695704"
"34","12","795","30.732045127897422"
"35","12","794","30.798875813159597"
"35","12","793","30.80302578524376"
"35","12","794","30.813596745842986"
"37","12","791","30.810951283524027"
"37","12","792","30.75480465932848"
"39","13","789","30.717222101054684"
"38","13","789","30.653019592737156"
"37","13","791","30.658939414848795"
"39","13","785","30.685473101513583"
"40","14","784","30.670311411751687"
"45","10","779","30.641299872263364"
"42","8","778","30.424625810747337"
"41","7","777","30.40748069822706"
"42","6","784","30.427058830997332"
"39","6","793","30.334616567711496"
"39","6","794","30.31969598332019"
"39","5","795","30.302740501355643"
"40","5","796","30.275455426498375"
"39","4","797","30.212522734860784"
"40","4","797","30.200277995458677"
"40","4","796","30.158915845398905"
"43","4","794","30.14426889148025"
"42","4","795","30.035731464161753"
"42","4","795","30.01025093449492"
"42","4","795","29.99640531097221"
"41","4","796","29.988763117128993"
"40","4","797","30.016059752444427"
"43","4","793","30.061998298847243"
"41","4","794","30.00007515844264"
"40","4","795","30.038495509264198"
"38","3","799","30.089751682912475"
"40","3","798","30.152960977009315"
"38","3","799","30.11504029556566"
"37","3","799","30.166115880025835"
"34","2","798","30.238073731906468"
"30","2","806","30.395971782245738"
"32","2","802","30.58247793958071"
"32","2","805","30.638425880847397"
"30","2","805","30.64443422921535"
"31","1","805","30.719170680204527"
"31","2","807","30.710888012445483"
"29","2","810","30.699510807003076"
"28","2","810","30.74761822651066"
"27","2","811","30.812674748160276"
"27","2","810","30.878568984946885"
"27","2","812","30.914729694064114"
"25","2","811","30.916342119212807"
"26","2","813","31.002265025670575"
"26","2","813","30.992852169754464"
"27","2","812","30.988318306858293"
"27","2","812","30.954560401886656"
"27","2","812","30.936697238286968"
"25","2","814","30.92723705967126"
"25","2","814","30.985274924844756"
"26","2","812","31.01611309944235"
"26","2","811","31.009314063657445"
"25","3","812","31.014036675614367"
"25","3","813","31.0528687456772"
"26","3","810","31.063538709933308"
"27","3","807","31.046646436269743"
"27","4","802","31.021022181361523"
"25","5","807","31.05114389124479"
"24","6","809","31.114162505390617"
"25","6","806","31.18610401751422"
"26","7","807","31.216449804879204"
"26","6","807","31.1936084310036"
"28","6","806","31.172205058442128"
"29","6","806","31.09106541288311"
"30","6","805","31.00840462408981"
"29","6","806","30.933218229061232"
"29","6","806","30.924938195254743"
"30","6","805","30.920605933894734"
"29","6","804","30.886810372067043"
"29","6","806","30.914542376775728"
"29","6","805","30.91440796848756"
"29","6","805","30.932469356326703"
"29","6","806","30.945226628533096"
"30","6","805","30.944792955238874"
"30","6","805","30.91342881558427"
"29","6","806","30.89691593124952"
"30","6","805","30.919728346149796"
"29","5","806","30.90034656760505"
"30","5","806","30.91681192226004"
"27","5","808","30.88742443818809"
"25","5","811","30.97521884922238"
"26","4","807","31.076805611523785"
"28","3","801","31.11405072856281"
"29","2","801","31.099353739547517"
"30","2","804","31.0349458463486"
"28","1","811","30.93385215697961"
"28","1","811","30.897666091262952"
"26","1","813","30.886372404618278"
"27","2","812","30.946391595935978"
"26","2","812","30.958107954457486"
"26","2","813","31.00519145618242"
"26","2","813","31.02249848834114"
"25","3","813","31.03199485896995"
"25","3","812","31.087158478852317"
"25","3","812","31.124832595890112"
"24","3","813","31.142397321029097"
"25","3","813","31.173160255857034"
"25","3","813","31.148879486494714"
"23","3","814","31.13565139141264"
"23","3","815","31.199831842275383"
"23","3","814","31.225579090430987"
"22","3","816","31.24747686014517"
"22","3","815","31.282144157093686"
"21","3","817","31.308855445988698"
"22","3","815","31.346298400600002"
"23","3","814","31.342956363501475"
"20","2","812","31.309661337763515"
"16","3","819","31.41786408681556"
"13","3","821","31.579679665462667"
