"White population","Black population","Grey population","Global temperature"
168,159,0,8.799985754432875
"170","249","31","13.70714493494621"
"184","367","81","16.83726605320231"
"189","437","121","18.677315860800245"
"186","481","138","19.81190361383383"
"182","505","146","20.81134220989447"
"175","505","152","21.65322991683802"
"171","503","160","22.31501075170006"
"168","506","163","22.72065844664386"
"162","504","166","23.044408209408502"
"156","504","170","23.388776686756827"
"153","501","177","23.759167860683686"
"148","501","180","23.980303439138314"
"141","509","186","24.27024654625765"
"136","510","188","24.73104927080858"
"129","509","194","25.166223422667933"
"125","510","197","25.6090646146791"
"118","508","203","25.984796163261986"
"110","512","212","26.37228727391049"
"100","516","217","26.857780709061203"
"91","511","226","27.508608317693753"
"84","519","234","28.065987653148767"
"79","517","239","28.64787336301419"
"73","519","243","29.092688295862345"
"67","522","245","29.551307893297153"
"63","522","250","30.02949845395503"
"63","450","270","30.395262934257776"
"53","380","306","29.69660321838724"
"55","341","348","28.742600718706647"
"55","346","389","27.428557302318804"
"58","337","416","26.43582535076583"
"60","339","430","25.472417517902304"
"59","338","436","24.793481909081734"
"59","335","445","24.418397733086294"
"59","336","446","24.116019358190204"
"58","331","449","23.960848799900166"
"58","335","447","23.84382628444398"
"58","331","451","23.836539167010606"
"61","324","455","23.761456777446185"
"62","322","456","23.49928054770385"
"64","319","457","23.292601246891643"
"63","313","461","23.06479957466923"
"61","313","464","22.893940548985217"
"60","311","467","22.859344877697954"
"61","306","473","22.82414003147484"
"59","303","478","22.666398786582608"
"60","298","482","22.591400739961575"
"60","296","482","22.431754956149607"
"60","294","486","22.329785750787032"
"59","290","490","22.223291490590675"
"57","288","494","22.138382972318475"
"48","280","500","22.12186703231822"
"45","269","502","22.34316693696413"
"35","258","521","22.44758255686339"
"35","241","541","22.617899686481532"
"31","244","555","22.39298035142946"
"30","247","559","22.370980440718622"
"30","251","558","22.39993812302038"
"32","251","557","22.46072216930838"
"32","248","559","22.42138696910103"
"32","246","563","22.352453757819244"
"31","242","566","22.2701717294645"
"31","243","567","22.206980549591123"
"29","240","569","22.177811556614653"
"28","242","571","22.19920718400926"
"26","244","569","22.255658445305098"
"26","245","570","22.40307590094035"
"27","240","573","22.482876365719193"
"27","234","579","22.409506837229454"
"26","230","584","22.265404503129112"
"26","229","585","22.153871786448462"
"25","225","589","22.07707987623143"
"25","227","589","22.004110238238667"
"25","225","590","21.986596109134982"
"26","225","589","21.952769206350947"
"27","226","587","21.910126729457467"
"29","222","587","21.876753502815607"
"24","203","596","21.74797125524254"
"21","199","605","21.616699222697925"
"18","197","615","21.553397238737602"
"18","192","626","21.530047592898025"
"19","186","634","21.377165393138803"
"18","179","642","21.13795812927695"
"16","178","645","20.92626745958466"
"16","180","645","20.870965875082007"
"17","178","646","20.866258985145397"
"17","178","646","20.796994151439918"
"17","178","646","20.75762443964048"
"16","176","648","20.735928703771663"
"16","173","651","20.727098492084743"
"16","170","655","20.667589056524438"
"16","168","657","20.572746102444082"
"17","169","654","20.486002787868937"
"17","174","649","20.435620281300192"
"16","175","648","20.501309333626796"
"16","176","649","20.588910514727885"
"17","175","648","20.6382829395049"
"17","174","650","20.63029561293405"
"18","174","649","20.60328167692196"
"19","171","650","20.5552493683337"
"18","169","653","20.443350036668647"
"15","171","650","20.377275341061857"
"18","172","650","20.495049916253162"
"16","165","655","20.447211743373543"
